"date","NH4_N","NO3_N","PO4_P","temperature","depth"
"1989-08-21",0.0271428571428571,1.93428571428571,0.0878571428571429,10.52,"0_65m"
"1989-09-18",NA,1.955,0.0893571428571429,9.6,"0_65m"
"1989-10-16",0.0235714285714286,1.97,0.101928571428571,8.40666666666667,"0_65m"
"1989-11-13",NA,2.16,0.0955714285714286,7.58666666666667,"0_65m"
"1989-12-11",NA,1.79857142857143,0.095,6.1,"0_65m"
"1990-01-08",NA,1.78928571428571,0.0850714285714286,5.2,"0_65m"
"1990-02-05",NA,1.85642857142857,0.088,4.6,"0_65m"
"1990-03-05",0,1.88,0.084,5.03333333333333,"0_65m"
"1990-04-02",NA,1.74857142857143,0.0676428571428571,5.8,"0_65m"
"1990-04-30",NA,1.69285714285714,0.0678571428571429,6.97333333333333,"0_65m"
"1990-05-28",0.0310714285714286,1.60357142857143,0.0629285714285714,8.05333333333333,"0_65m"
"1990-06-25",NA,1.59928571428571,0.0735714285714286,8.72,"0_65m"
"1990-07-23",NA,1.75142857142857,0.0795714285714286,9.82,"0_65m"
"1990-08-20",0.0887142857142857,1.445,0.0908571428571429,9.49333333333333,"0_65m"
"1990-09-17",NA,1.39428571428571,0.102142857142857,8.90666666666667,"0_65m"
"1990-10-15",0.109142857142857,1.26071428571429,0.0618571428571429,8.50666666666667,"0_65m"
"1990-11-12",NA,1.47285714285714,0.111571428571429,7.23333333333333,"0_65m"
"1990-12-10",NA,1.49428571428571,0.104,6.25333333333333,"0_65m"
"1991-01-14",NA,1.55866666666667,0.0969285714285714,5.2,"0_65m"
"1991-02-11",NA,1.722,NA,3.725,"0_65m"
"1991-03-11",0.0138666666666667,1.63066666666667,NA,4.05625,"0_65m"
"1991-04-08",NA,1.826,NA,5.275,"0_65m"
"1991-05-06",0.0392666666666667,1.46866666666667,NA,6.40625,"0_65m"
"1991-06-03",NA,1.526,NA,8.62666666666667,"0_65m"
"1991-07-01",NA,1.50066666666667,NA,8.9625,"0_65m"
"1991-07-29",NA,1.38933333333333,NA,9.925,"0_65m"
"1991-08-26",0.0624,1.444,NA,10.34375,"0_65m"
"1991-09-23",NA,1.258,NA,9.81875,"0_65m"
"1991-10-21",0.0594,1.33866666666667,NA,8.2,"0_65m"
"1991-11-18",NA,1.266,NA,6.20625,"0_65m"
"1991-12-16",NA,NA,NA,NA,"0_65m"
"1991-12-23",NA,0.705333333333333,NA,4.8,"0_65m"
"1992-01-13",NA,1.52066666666667,0.0724666666666667,4.2,"0_65m"
"1992-01-20",NA,NA,NA,NA,"0_65m"
"1992-02-10",0.026,1.58733333333333,0.0801333333333333,3.41875,"0_65m"
"1992-03-09",NA,1.73533333333333,0.0814,3.725,"0_65m"
"1992-04-06",NA,1.75466666666667,0.0790666666666667,4.74375,"0_65m"
"1992-05-04",0.0311333333333333,1.66733333333333,0.0612,6.45625,"0_65m"
"1992-06-01",NA,1.61933333333333,0.0653333333333333,8.65,"0_65m"
"1992-07-01",NA,NA,NA,NA,"0_65m"
"1992-07-27",0.0444,1.546,0.0868,10.64375,"0_65m"
"1992-08-24",NA,1.36133333333333,0.0922666666666667,9.99375,"0_65m"
"1992-09-21",NA,1.47866666666667,0.0895333333333333,9.225,"0_65m"
"1992-10-19",0.059,1.49266666666667,0.096,7.74375,"0_65m"
"1992-11-16",NA,1.75666666666667,0.0818,6.6875,"0_65m"
"1992-12-14",NA,1.85066666666667,0.0838,6,"0_65m"
"1993-01-11",NA,1.93133333333333,0.0882001,4.6,"0_65m"
"1993-02-08",0.0131333333333333,1.957,0.0863333333333333,4.5,"0_65m"
"1993-03-08",NA,2.00533333333333,0.0869617,4.49375,"0_65m"
"1993-04-05",NA,2.15746666666667,0.0682500066666667,4.94,"0_65m"
"1993-05-03",0.0343333333333333,1.78113333333333,0.0595933666666667,7.54375,"0_65m"
"1993-06-01",NA,1.86173986666667,0.0627172866666667,9.425,"0_65m"
"1993-07-05",NA,NA,NA,NA,"0_65m"
"1993-07-26",0.0362931666666667,1.72838516666667,0.07416082,9.8811875,"0_65m"
"1993-08-23",NA,1.74853333333333,0.08275338,10.446875,"0_65m"
"1993-09-20",NA,1.8008,0.0832200466666667,9.4374375,"0_65m"
"1993-10-18",0.0179027533333333,1.85674948,0.08986734,8.398125,"0_65m"
"1993-11-15",NA,1.8138,0.08292004,6.5725,"0_65m"
"1994-01-10",NA,1.84367053333333,0.0846814333333333,4.9925,"0_65m"
"1994-02-07",0.0110733333333333,1.91191562666667,0.0809118,4.555625,"0_65m"
"1994-03-07",NA,1.9162,0.0805965266666667,4.495,"0_65m"
"1994-04-05",NA,1.87428378666667,0.06868564,5.80725,"0_65m"
"1994-05-02",0.01427066,1.87552816,0.0505760533333333,7.41975,"0_65m"
"1994-05-30",NA,NA,NA,NA,"0_65m"
"1994-06-29",NA,1.80866666666667,0.0572079666666667,10.58125,"0_65m"
"1994-07-25",0.0200203533333333,1.75123124,0.0664428333333333,10.909125,"0_65m"
"1994-08-22",NA,1.64513333333333,0.0688995866666667,10.934375,"0_65m"
"1994-09-19",NA,1.60095388,0.07204806,9.47,"0_65m"
"1994-10-17",0.02245182,1.57818492,0.07413498,8.744375,"0_65m"
"1994-11-14",NA,1.5703572,0.0756174533333333,7.8525,"0_65m"
"1994-12-12",NA,1.6184,0.0763947066666667,7.0325,"0_65m"
