id_CH;id_ZH;id_RO;empire;kingdom;phylum;class;order;family;genus;species;size;potentiallyToxic;affiliation;synonyms;EstimatedBiovolumesFromLiterature;Literature;volume_um.3;kremer_key;kremer_match;min_nu.biovol;mn_nu.biovol;mdn_nu.biovol;max_nu.biovol;sd_nu.biovol;n;mn_cells.per.nu;n_sources;w.tsn;analysis;comments;size_category;motility;physiology;colony_growth;stRategy;cell_shape;special_nutrition;volume_um.3.1;surface_um.2;VWS;GRE;HAL;SEM;BAL;BoOber;Unter;WAL;qualifier_as_food;species_buergi;coloniality;comments_coloniality;guild;guild.code
105;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Aphanothece;stagnina;;NA;Aphanothece stagnina;;NA;;80;Aphanothece;genus;0,195899652;1,935423551;1,897627091;3,201397124;0,549039027;1079;40,41133704;7;636;all;NA;c;c;a;f;K;g;NA;80;90;NA;NA;NA;NA;NA;80;80;NA;25;Aphanothece stagnina;3;;cyanobacteria;P2
106;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Aphanothece;microscopica;;NA;Aphanothece microscopica;;NA;;15;Aphanothece;genus;0,195899652;1,935423551;1,897627091;3,201397124;0,549039027;1079;40,41133704;7;636;all;NA;c;c;a;f;K;g;NA;15;25;NA;NA;NA;NA;NA;NA;NA;NA;10;Aphanothece microscopica;3;;cyanobacteria;P2
107;200800;s017;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Chroococcaceae;Chroococcus;sp;;1;Chroococcus sp;;NA;;100;Chroococcus;genus;0,897077003;2,41032392;2,477121255;4,274550385;0,662195322;781;5,342753804;7;654;all;NA;c;c;a;f;K;a;NA;100;110;NA;NA;NA;NA;NA;100;100;NA;20;Chroococcus sp;3;(sometime oncly 2 cells, but still considered colony) Rex L. Lowe, Gina D. LaLiberte, in Methods in Stream Ecology, Volume 1 (Third Edition), 2017;cyanobacteria;P2
108;200802;s016;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Chroococcaceae;Chroococcus;turgidus;;1;Chroococcus turgidus;Chroococcus dimidiatus;NA;;4000;Chroococcus turgidus;species;2,476628775;3,367743019;3,398370749;4,274550385;0,48882532;18;3;3;655;all;NA;d;c;a;f;K;a;NA;4000;2500;NA;NA;NA;NA;NA;1800;1800;NA;25;Chroococcus turgidus;3;(sometime oncly 2 cells, but still considered colony) Rex L. Lowe, Gina D. LaLiberte, in Methods in Stream Ecology, Volume 1 (Third Edition), 2017;cyanobacteria;P2
109;200803;s013;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Chroococcaceae;Chroococcus;dispersus;;1;Chroococcus dispersus;;NA;;22;Chroococcus dispersus;species;1,525174428;2,170300552;2,328379603;2,703291378;0,335685229;27;1;3;665;all;NA;d;c;a;f;K;a;NA;22;40;NA;NA;NA;NA;NA;22;22;NA;15;Chroococcus dispersus;3;(sometime oncly 2 cells, but still considered colony) Rex L. Lowe, Gina D. LaLiberte, in Methods in Stream Ecology, Volume 1 (Third Edition), 2017;cyanobacteria;P2
110;200801;s014;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Chroococcaceae;Chroococcus;limneticus;;1;Chroococcus limneticus;;NA;;150;Chroococcus limneticus;species;2,053452237;3,015598975;3,209614293;3,680685347;0,391327304;132;11,76190476;6;656;all;discuss, as there are different variants that are axcepted, whereas C. limneticus is a synonyme of Limnococcus limneticus;d;c;a;f;R;a;NA;150;180;NA;NA;NA;NA;NA;250;250;NA;10;Chroococcus limneticus;3;(sometime oncly 2 cells, but still considered colony) Rex L. Lowe, Gina D. LaLiberte, in Methods in Stream Ecology, Volume 1 (Third Edition), 2017;cyanobacteria;P2
111;201000;s020;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Coelosphaeriaceae;Coelosphaerium;sp;;0;Coelosphaerium sp;;NA;;15;Coelosphaerium;genus;0,664641976;1,924246743;1,451435633;3,922029095;1,045484054;426;46,47160494;6;791;all;NA;d;b;a;f;R;b;NA;15;25;20;5;NA;NA;NA;NA;NA;NA;5;Coelosphaerium sp;4;;cyanobacteria;P2
112;201001;s018;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Coelosphaeriaceae;Coelosphaerium;kuetzingianum;;0;Coelosphaerium kuetzingianum;;NA;;22;Coelosphaerium kuetzingianum;species;3,477555766;3,600373861;3,614032563;3,620908075;0,034040791;18;NA;1;792;all;NA;d;c;a;f;R;b;h;22;35;20;20;NA;NA;NA;22;22;NA;10;Coelosphaerium kuetzingianum;4;;cyanobacteria;P2
113;201002;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Coelosphaeriaceae;Coelosphaerium;minutissimum;;0;Coelosphaerium minutissimum;;NA;;1;Coelosphaerium minutissimum;species;2,257678575;2,257678575;2,257678575;2,257678575;NA;1;NA;1;797;all;NA;c;c;a;f;R;b;NA;1;3;NA;NA;NA;NA;NA;NA;NA;NA;1;Coelosphaerium minutissimum;4;;cyanobacteria;P2
114;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Coelosphaeriaceae;Coelosphaerium;dubium;;0;Coelosphaerium dubium;;NA;;110;Coelosphaerium;genus;0,664641976;1,924246743;1,451435633;3,922029095;1,045484054;426;46,47160494;6;791;all;NA;d;b;a;f;R;b;NA;110;110;NA;NA;NA;NA;NA;NA;NA;NA;30;Coelosphaerium dubium;4;;cyanobacteria;P2
115;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Synechococcaceae;Cyanodictyon;sp;;NA;Cyanodictyon sp;;NA;;1;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;c;c;a;h;K;a;NA;1;3;NA;NA;NA;NA;NA;NA;NA;NA;1;Cyanodictyon sp;3;;cyanobacteria;P2
116;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Gomphosphaeriaceae;Gomphosphaeria/Snowella;sp;;1;Gomphosphaeria/Snowella sp;;NA;;20;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;biomass only;discuss, how to handle;d;b;a;f;R;b;NA;20;30;NA;NA;NA;NA;NA;20;20;NA;10;Gomphosphaeria/Snowella sp;3;cells periferical with stalks;cyanobacteria;P2
117;NA;s026;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Coelosphaeriaceae;Snowella;lacustris;;1;Snowella lacustris;Gomphosphaeria lacustris;NA;;8;Gomphosphaeria lacustris;species;1,467163966;2,294741105;2,353868892;3,175070917;0,386471735;58;32,47037037;3;720;all;NA;c;c;a;f;R;b;NA;8;18;NA;NA;NA;NA;NA;8;8;NA;6;Snowella lacustris;3;cells periferical with stalks;cyanobacteria;P2
