"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"68",2007-02-12,15,468750,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"69",2007-03-12,2,62100,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"70",2007-03-12,15,345000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"71",2007-04-10,2,89700,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"72",2007-04-10,15,1562500,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"73",2007-05-14,2,156250,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"74",2007-06-11,2,78125,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"75",2007-06-11,15,1380000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"76",2007-07-09,1,5058,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"77",2007-07-09,2,15625,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"78",2007-07-09,15,9660000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"79",2007-08-06,1,3372,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"80",2007-08-06,2,48300,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"81",2007-08-06,15,168600,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"82",2007-09-11,2,13800,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"83",2007-09-11,15,674400,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"84",2007-10-08,15,843000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"85",2007-11-05,2,62500,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"86",2007-11-05,15,1035000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"87",2007-11-05,209,414000,"indv./L","0_20m","Synechococcales","Woronichinia","sp",NA,"",NA,NA,"Woronichinia sp",1,"GRE"
"88",2007-12-03,1,11802,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"89",2007-12-03,2,579600,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"90",2008-01-14,1,7587,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"91",2008-01-14,2,29900,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"92",2008-02-11,1,6744,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"93",2008-02-11,2,75900,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"94",2008-03-10,1,1686,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"95",2008-03-10,2,15625,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"96",2008-03-10,15,1562500,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"97",2008-04-15,2,6900,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"98",2008-05-13,15,2070000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"99",2008-06-09,1,1686,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"100",2008-06-09,2,101200,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"101",2008-06-09,15,2760000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"102",2008-07-14,1,8430,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"103",2008-07-14,2,75900,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
