"date","id_CH","abundance","unit","depth"
"1985-05-28",2399,12000,"indv./L","0_13m"
"1985-05-28",2601,6000,"indv./L","0_13m"
"1985-05-28",2614,48000,"indv./L","0_13m"
"1985-05-28",2912,800,"indv./L","0_13m"
"1985-05-28",2916,3900000,"indv./L","0_13m"
"1985-05-28",2924,190000,"indv./L","0_13m"
"1985-05-28",2972,12000,"indv./L","0_13m"
"1985-05-28",2996,12000,"indv./L","0_13m"
"1985-05-28",3018,28000,"indv./L","0_13m"
"1985-05-28",3102,3000,"indv./L","0_13m"
"1985-05-28",499,42000,"indv./L","0_13m"
"1985-05-28",5001,280000,"indv./L","0_13m"
"1985-05-28",5598,1200,"indv./L","0_13m"
"1985-05-28",5599,130000,"indv./L","0_13m"
"1985-05-28",5708,240,"indv./L","0_13m"
"1985-05-28",5903,6100,"indv./L","0_13m"
"1985-05-28",5905,1600,"indv./L","0_13m"
"1985-05-28",6004,12,"indv./L","0_13m"
"1985-05-28",6013,36,"indv./L","0_13m"
"1985-05-28",6015,130,"indv./L","0_13m"
"1985-05-28",6016,8,"indv./L","0_13m"
"1985-05-28",6027,240,"indv./L","0_13m"
"1985-05-28",6098,110,"indv./L","0_13m"
"1985-05-28",6099,260,"indv./L","0_13m"
"1985-05-28",612,560000,"indv./L","0_13m"
"1985-06-10",132,60000,"indv./L","0_13m"
"1985-06-10",1706,1300,"indv./L","0_13m"
"1985-06-10",1718,200,"indv./L","0_13m"
"1985-06-10",1733,60,"indv./L","0_13m"
"1985-06-10",199,38000,"indv./L","0_13m"
"1985-06-10",2001,140000,"indv./L","0_13m"
"1985-06-10",2014,52000,"indv./L","0_13m"
"1985-06-10",2021,64000,"indv./L","0_13m"
"1985-06-10",2399,7000,"indv./L","0_13m"
"1985-06-10",2601,1800,"indv./L","0_13m"
"1985-06-10",2614,230000,"indv./L","0_13m"
"1985-06-10",2621,98000,"indv./L","0_13m"
"1985-06-10",2912,45000,"indv./L","0_13m"
